cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_connection	rust_const	notes
1077	SMSG_ARENA_PREP_OPPONENT_SPECIALIZATIONS	0x2648	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	ArenaPrepOpponentSpecializations	-
1078	SMSG_ARTIFACT_ENDGAME_POWERS_REFUNDED	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1079	SMSG_ARTIFACT_FORGE_ERROR	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1080	SMSG_ARTIFACT_RESPEC_PROMPT	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1081	SMSG_ARTIFACT_XP_GAIN	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1082	SMSG_ARENA_TEAM_COMMAND_RESULT	0x2763	STATUS_NEVER	CONNECTION_TYPE_REALM	ArenaTeamCommandResult	-
1083	SMSG_ARENA_TEAM_EVENT	0x2762	STATUS_NEVER	CONNECTION_TYPE_REALM	ArenaTeamEvent	-
1084	SMSG_ARENA_TEAM_INVITE	0x2761	STATUS_NEVER	CONNECTION_TYPE_REALM	ArenaTeamInvite	-
1085	SMSG_ARENA_TEAM_ROSTER	0x2760	STATUS_NEVER	CONNECTION_TYPE_REALM	ArenaTeamRoster	-
1086	SMSG_ARENA_TEAM_STATS	0x2764	STATUS_NEVER	CONNECTION_TYPE_REALM	ArenaTeamStats	-
1087	SMSG_ATTACKER_STATE_UPDATE	0x2952	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AttackerStateUpdate	-
1088	SMSG_ATTACK_START	0x293D	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AttackStart	-
1089	SMSG_ATTACK_STOP	0x293E	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AttackStop	-
1090	SMSG_ATTACK_SWING_ERROR	0x294C	STATUS_NEVER	CONNECTION_TYPE_REALM	AttackSwingError	-
1091	SMSG_ATTACK_SWING_LANDED_LOG	0x294D	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AttackSwingLandedLog	-
1092	SMSG_AUCTIONABLE_TOKEN_AUCTION_SOLD	0x27D8	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AuctionableTokenAuctionSold	-
1093	SMSG_AUCTIONABLE_TOKEN_SELL_AT_MARKET_PRICE_RESPONSE	0x27D7	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AuctionableTokenSellAtMarketPriceResponse	-
1094	SMSG_AUCTIONABLE_TOKEN_SELL_CONFIRM_REQUIRED	0x27D6	STATUS_UNHANDLED	CONNECTION_TYPE_INSTANCE	AuctionableTokenSellConfirmRequired	-
1095	SMSG_AUCTION_CLOSED_NOTIFICATION	0x26F3	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionClosedNotification	-
1096	SMSG_AUCTION_COMMAND_RESULT	0x26F0	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionCommandResult	-
1097	SMSG_AUCTION_DISABLE_NEW_POSTINGS	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1098	SMSG_AUCTION_FAVORITE_LIST	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1099	SMSG_AUCTION_GET_COMMODITY_QUOTE_RESULT	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1100	SMSG_AUCTION_HELLO_RESPONSE	0x26EE	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionHelloResponse	-
1101	SMSG_AUCTION_LIST_BIDDED_ITEMS_RESULT	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1102	SMSG_AUCTION_LIST_BUCKETS_RESULT	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1103	SMSG_AUCTION_LIST_BIDDER_ITEMS_RESULT	0x287D	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionListBidderItemsResult	-
1104	SMSG_AUCTION_LIST_ITEMS_RESULT	0x2863	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionListItemsResult	-
1105	SMSG_AUCTION_LIST_OWNED_ITEMS_RESULT	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1106	SMSG_AUCTION_LIST_OWNER_ITEMS_RESULT	0x287C	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionListOwnerItemsResult	-
1107	SMSG_AUCTION_LIST_PENDING_SALES_RESULT	0x26F5	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionListPendingSalesResult	-
1108	SMSG_AUCTION_OUTBID_NOTIFICATION	0x26F2	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionOutbidNotification	-
1109	SMSG_AUCTION_OWNER_BID_NOTIFICATION	0x26F4	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionOwnerBidNotification	-
1110	SMSG_AUCTION_REPLICATE_RESPONSE	0x26EF	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionReplicateResponse	-
1111	SMSG_AUCTION_WON_NOTIFICATION	0x26F1	STATUS_NEVER	CONNECTION_TYPE_REALM	AuctionWonNotification	-
1112	SMSG_AURA_POINTS_DEPLETED	0x2C20	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AuraPointsDepleted	-
1113	SMSG_AURA_UPDATE	0x2C1F	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AuraUpdate	-
1114	SMSG_AUTH_CHALLENGE	0x3048	STATUS_NEVER	CONNECTION_TYPE_REALM	AuthChallenge	-
1115	SMSG_AUTH_FAILED	0x256C	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AuthFailed	-
1116	SMSG_AUTH_RESPONSE	0x256D	STATUS_NEVER	CONNECTION_TYPE_REALM	AuthResponse	-
1117	SMSG_AVAILABLE_HOTFIXES	0x290F	STATUS_NEVER	CONNECTION_TYPE_REALM	AvailableHotfixes	-
1118	SMSG_BACKPACK_DEFAULT_SIZE_CHANGED	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_INSTANCE	-	missing_rust_opcode_constant
1119	SMSG_BAG_CLEANUP_FINISHED	0x2DA7	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	BagCleanupFinished	-
