cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_processing	cpp_handler	cpp_handler_file	cpp_handler_line	cpp_owner_doc	rust_const	rust_registered	rust_file	rust_handler	rust_status	rust_processing	notes
665	CMSG_MOVE_SET_CAN_TURN_WHILE_FALLING_ACK	0x3A25	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementAckMessage	game/Handlers/MovementHandler.cpp	565	handlers.md	MoveSetCanTurnWhileFallingAck	yes	crates/wow-world/src/handlers/movement.rs	handle_movement_ack_message	LoggedIn	ThreadSafe	-
666	CMSG_MOVE_SET_COLLISION_HEIGHT_ACK	0x3A3B	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleSetCollisionHeightAck	game/Handlers/MovementHandler.cpp	578	handlers.md	MoveSetCollisionHeightAck	yes	crates/wow-world/src/handlers/movement.rs	handle_move_set_collision_height_ack	LoggedIn	ThreadSafe	-
667	CMSG_MOVE_SET_FACING	0x3A09	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveSetFacing	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
668	CMSG_MOVE_SET_FACING_HEARTBEAT	0x3A5F	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveSetFacingHeartbeat	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
669	CMSG_MOVE_SET_FLY	0x3A28	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveSetFly	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
670	CMSG_MOVE_SET_IGNORE_MOVEMENT_FORCES_ACK	0x3A26	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementAckMessage	game/Handlers/MovementHandler.cpp	565	handlers.md	MoveSetIgnoreMovementForcesAck	yes	crates/wow-world/src/handlers/movement.rs	handle_movement_ack_message	LoggedIn	ThreadSafe	-
671	CMSG_MOVE_SET_MOD_MOVEMENT_FORCE_MAGNITUDE_ACK	0x3A42	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMoveSetModMovementForceMagnitudeAck	game/Handlers/MovementHandler.cpp	627	handlers.md	MoveSetModMovementForceMagnitudeAck	yes	crates/wow-world/src/handlers/movement.rs	handle_movement_speed_ack	LoggedIn	ThreadSafe	-
672	CMSG_MOVE_SET_PITCH	0x3A0A	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveSetPitch	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
673	CMSG_MOVE_SET_RUN_MODE	0x39F2	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMovementOpcodes	game/Handlers/MovementHandler.cpp	307	handlers.md	MoveSetRunMode	yes	crates/wow-world/src/handlers/movement.rs	handle_movement	LoggedIn	ThreadSafe	-
674	CMSG_MOVE_SET_TURN_RATE_CHEAT	0xBADD	STATUS_UNHANDLED	PROCESS_INPLACE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
675	CMSG_MOVE_SET_VEHICLE_REC_ID_ACK	0x3A14	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleMoveSetVehicleRecAck	game/Handlers/VehicleHandler.cpp	193	handlers.md	MoveSetVehicleRecIdAck	no	-	-	-	-	missing_rust_dispatch
