key	cxx_dist_refs	cxx_dist_defaults	cxx_direct_refs	cxx_direct_defaults	cxx_targets	rust_refs	status	notes
Arena.ArenaSeason.ID	worldserver:server/worldserver/worldserver.conf.dist:3087	worldserver=32	Int:server/game/World/World.cpp:1350	Int=32	CONFIG_ARENA_SEASON_ID		missing_in_rust	-
Arena.ArenaSeason.InProgress	worldserver:server/worldserver/worldserver.conf.dist:3095	worldserver=1	Bool:server/game/World/World.cpp:1354	Bool=false	CONFIG_ARENA_SEASON_IN_PROGRESS		missing_in_rust	-
Arena.ArenaStartMatchmakerRating	worldserver:server/worldserver/worldserver.conf.dist:3116	worldserver=1500	Int:server/game/World/World.cpp:1353	Int=1500	CONFIG_ARENA_START_MATCHMAKER_RATING		missing_in_rust	-
Arena.ArenaStartPersonalRating	worldserver:server/worldserver/worldserver.conf.dist:3109	worldserver=0	Int:server/game/World/World.cpp:1352	Int=1000	CONFIG_ARENA_START_PERSONAL_RATING		missing_in_rust	-
Arena.ArenaStartRating	worldserver:server/worldserver/worldserver.conf.dist:3102	worldserver=0	Int:server/game/World/World.cpp:1351	Int=0	CONFIG_ARENA_START_RATING		missing_in_rust	-
Arena.ArenaWinRatingModifier1	worldserver:server/worldserver/worldserver.conf.dist:3125	worldserver=48	Float:server/game/World/World.cpp:1356	Float=48.0f	CONFIG_ARENA_WIN_RATING_MODIFIER_1		missing_in_rust	-
Arena.ArenaWinRatingModifier2	worldserver:server/worldserver/worldserver.conf.dist:3133	worldserver=24	Float:server/game/World/World.cpp:1357	Float=24.0f	CONFIG_ARENA_WIN_RATING_MODIFIER_2		missing_in_rust	-
Arena.AutoDistributeInterval	worldserver:server/worldserver/worldserver.conf.dist:3072	worldserver=7					missing_in_rust	-
Arena.AutoDistributePoints	worldserver:server/worldserver/worldserver.conf.dist:3064	worldserver=0					missing_in_rust	-
Arena.MaxRatingDifference	worldserver:server/worldserver/worldserver.conf.dist:3040	worldserver=150	Int:server/game/World/World.cpp:1346	Int=150	CONFIG_ARENA_MAX_RATING_DIFFERENCE		missing_in_rust	-
Arena.QueueAnnouncer.Enable	worldserver:server/worldserver/worldserver.conf.dist:3080	worldserver=0	Bool:server/game/World/World.cpp:1349	Bool=false	CONFIG_ARENA_QUEUE_ANNOUNCER_ENABLE		missing_in_rust	-
Arena.RatedUpdateTimer	worldserver:server/worldserver/worldserver.conf.dist:3056	worldserver=5000	Int:server/game/World/World.cpp:1348	Int=5 * IN_MILLISECONDS	CONFIG_ARENA_RATED_UPDATE_TIMER		missing_in_rust	-
Arena.RatingDiscardTimer	worldserver:server/worldserver/worldserver.conf.dist:3049	worldserver=600000	Int:server/game/World/World.cpp:1347	Int=10 * MINUTE * IN_MILLISECONDS	CONFIG_ARENA_RATING_DISCARD_TIMER		missing_in_rust	-
ArenaLog.ExtendedInfo	worldserver:server/worldserver/worldserver.conf.dist:3157	worldserver=0	Bool:server/game/World/World.cpp:1355	Bool=false	CONFIG_ARENA_LOG_EXTENDED_INFO		missing_in_rust	-
ArenaTeam.CharterCost.2v2	worldserver:server/worldserver/worldserver.conf.dist:760	worldserver=800000	Int:server/game/World/World.cpp:943	Int=800000			missing_in_rust	-
ArenaTeam.CharterCost.3v3	worldserver:server/worldserver/worldserver.conf.dist:761	worldserver=1200000	Int:server/game/World/World.cpp:944	Int=1200000			missing_in_rust	-
ArenaTeam.CharterCost.5v5	worldserver:server/worldserver/worldserver.conf.dist:762	worldserver=2000000	Int:server/game/World/World.cpp:945	Int=2000000			missing_in_rust	-
Auction.ReplicateItemsCooldown	worldserver:server/worldserver/worldserver.conf.dist:543	worldserver=900	Int:server/game/World/World.cpp:772	Int=900	CONFIG_AUCTION_REPLICATE_DELAY		missing_in_rust	-
Auction.SearchDelay	worldserver:server/worldserver/worldserver.conf.dist:552	worldserver=300	Int:server/game/World/World.cpp:773	Int=300	CONFIG_AUCTION_SEARCH_DELAY		missing_in_rust	-
Auction.TaintedSearchDelay	worldserver:server/worldserver/worldserver.conf.dist:561	worldserver=3000	Int:server/game/World/World.cpp:779	Int=3000	CONFIG_AUCTION_TAINTED_SEARCH_DELAY		missing_in_rust	-
AuctionHouseBot.Account	worldserver:server/worldserver/worldserver.conf.dist:3577	worldserver=0					missing_in_rust	-
AuctionHouseBot.Alliance.Items.Amount.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3600	worldserver=100					missing_in_rust	-
AuctionHouseBot.Alliance.Price.Ratio	worldserver:server/worldserver/worldserver.conf.dist:3738	worldserver=100					missing_in_rust	-
